u-text,u-icon href (3)
"4/17/2025
Wed 16 Apr, 2025: Luxury Handbag - Plus Aliens - Equals Evergreen - Empty DNA - Taiwan Op - Floating Green WEF - Digital Domination",https://toresaid.com/api/episode/printtranscript?i=2184
"4/12/2025
Sat 12 Apr, 2025: News Toner Base - CCP Gender ID - Mucusie - Entrapment - Drone ID - Tariff Scripts - Matters2Us",https://toresaid.com/api/episode/printtranscript?i=2185
"4/8/2025
Tue 08 Apr 2025: The Consequences - Bad Dream - Fed's Sad - China Pronouns - Triggers - Chat Chumming - Korea Crisis",https://toresaid.com/api/episode/printtranscript?i=2186
"4/5/2025
Sat 05 Apr, 2025: Revelation State - Building Reality - Calculated Transition - The Phases - Blueprint Concerns - Narrative Fracture - Honest Again",https://toresaid.com/api/episode/printtranscript?i=2187
"4/4/2025
Fri 04 Apr, 2025: Targets And Infiltration - Court Story - Room Elephant - Tariff Questions - Affinity Groups - People's Courts - Action List",https://toresaid.com/api/episode/printtranscript?i=2188
"4/3/2025
Wed 02 Apr, 2025: TikTok Time - Tea Free - Fun Venting - Small Talk - Assets And Actions - Pursuing Purses - Pet Therapy",https://toresaid.com/api/episode/printtranscript?i=2189
"3/26/2025
Tue 25 Mar, 2025: GRWM Bedtime Chat - April Second - Skin Care Fair - Coming Pipeline - Money Ties - Future Blueprint - Called Upon",https://toresaid.com/api/episode/printtranscript?i=2190
"3/24/2025
Sun 23 Mar, 2025: Pyramids And Narratives - Soft Priming - Disclosure Phase II - Disengaged Observer - Global Grids - Faith Weapons - God Bless Americ",https://toresaid.com/api/episode/printtranscript?i=2191
"3/21/2025
Thu 20 Mar, 2025: Bloodlines And Blackmail - Tainted Sugar - Seven Sisters - Influencer Assets - BCCI Repeat - All 2B Negated - Lone Dissent",https://toresaid.com/api/episode/printtranscript?i=2192
"3/8/2025
Sun 07 Mar, 2025: Fire Friday - Justified Annihilation - Cognitive Dissonance - NATO Moves - Dictated History - Algorithm Rule - Gut Trust",https://toresaid.com/api/episode/printtranscript?i=2193
"2/23/2025
Sun 23 Feb, 2025: Erasing Christ - Time Rewrite - Machine Logic - Defining Miracles - Code Gods - Last Pope - Chapter Zero",https://toresaid.com/api/episode/printtranscript?i=2194
"2/14/2025
Fri 14 Feb, 2025: Israel, AIPAC, Palestine - Noise Fatigue - Truth's Face - PickATeam - Operation Cyclone - Expendable Allies - Funding Empire",https://toresaid.com/api/episode/printtranscript?i=2195
"2/8/2025
Sat 08 Feb, 2025: Enjoy Again - Groundwork Laid - DOGE Theater - The Mockingbirds - Enjoy The Show - Shattered Arrogance - 530 Weeks",https://toresaid.com/api/episode/printtranscript?i=2196
"2/4/2025
Tue 04 Feb, 2025: Under New Management - Gaza USA - Bold initiatives - Savor The Times - Vertical City - Rebuilding LA - Early Card",https://toresaid.com/api/episode/printtranscript?i=2197
"2/3/2025
Mon 03 Feb, 2025: Time2Focus - The Great Deception - Clicks 'N Clout - Money Flows - NGO Powers - Target Judges - Congratulations",https://toresaid.com/api/episode/printtranscript?i=2198
"1/30/2025
Thu 30 Jan, 2025: Rage Day - Deliberate Crash - Bad Reporting - Senate Hearings - Union Dues - Get2Work - At War",https://toresaid.com/api/episode/printtranscript?i=2199
"1/16/2025
Wed 15 Jan, 2025: Health Gold - Dr. Simone Gold Interview - Choke Points - J6 Review - Entrapment Plan - Evidence Killer - Inauguration Pride",https://toresaid.com/api/episode/printtranscript?i=2200
"1/15/2025
Tue 14 Jan, 2025: The Simulation - Captured Within - Participation Vector - Reality Deterioration - Food Free - Melanin Magic - Spending Time",https://toresaid.com/api/episode/printtranscript?i=2201
"1/13/2025
Sun 12 Jan, 2025: Clinton Crime Review (Part 2 of 2): Doctors Of Death - Team Evil - Unity Talk - Wexner Truths - Influence Agents - Fire Tab",https://toresaid.com/api/episode/printtranscript?i=2202
"1/13/2025
Sun 12 Jan, 2025: Clinton Crime Review (Part 1 of 2) - Four Families - Rage Insensitive - Eight Million Kids - Deceitful Decades - California Fate - C",https://toresaid.com/api/episode/printtranscript?i=2203
"1/1/2025
Tue 31 Dec, 2024: New Years Eve - 2025 Incoming - Weaponized Outrage - Middle Ground - Chapter Reading - Influence Networks - Perfect Square Year",https://toresaid.com/api/episode/printtranscript?i=2132
"12/31/2024
Mon 30 Dec, 2024: New Years Gift - 2025 Clarity - Truth Still Matters - Freedom's Light - Faith Not Fear - The Digital Dominion - Breath Of Peace",https://toresaid.com/api/episode/printtranscript?i=2133
"12/27/2024
Thu 26 Dec, 2024: Limited Hangout - Influencer Fail - Millie Ops - China Everywhere - Good Focus - Genius Plague - Duplicity4All",https://toresaid.com/api/episode/printtranscript?i=2134
"12/24/2024
Tue 24 Dec, 2024: Christmas Eve Show - Sin And Freedom - Greek Athenian Wars - Christmas Tree Nebula - China's Path - Flood Control - The Origins",https://toresaid.com/api/episode/printtranscript?i=2135
"12/17/2024
Mon 16 Dec, 2024: Drones, Fake Narratives And AI Tea - Fear Conspiracies - Mind Hijack - Hands Shown - Operational Training - Intel Mosaic - Drone ID",https://toresaid.com/api/episode/printtranscript?i=2136
"12/10/2024
Mon 09 Dec, 2024: Tore As The Chaos Coordinator (Part 2 of 2) - Drama, Ronald McDonald, Mario Brothers and Limited Hangouts Plus Crypto Too - A Group",https://toresaid.com/api/episode/printtranscript?i=2137
"12/10/2024
Mon 09 Dec, 2024: Tore As The Chaos Coordinator (Part 1 of 2) - Drama, Ronald McDonald, Mario Brothers and Limited Hangouts Plus Crypto Too - A Group",https://toresaid.com/api/episode/printtranscript?i=2138
"12/8/2024
Sat 07 Dec, 2024: Crimes, Crimes, Crimes (Part 2 of 2) - Being Throttled - Good Genes - Gaslighting Us - AI Future - Evil Downloads - So Many Choices",https://toresaid.com/api/episode/printtranscript?i=2139
"12/8/2024
Sat 07 Dec, 2024: Crimes, Crimes, Crimes (Part 1 of 2) - Truth Vs Lies - NDA Free - Narrative Control - The Podestas - Vampire Cyborgs - Keeping Wicke",https://toresaid.com/api/episode/printtranscript?i=2140
"11/28/2024
Wed 27 Nov, 2024: Thanksgiving Special (Part 2 of 2) - Further Discussion And Review With Guest PsyOps",https://toresaid.com/api/episode/printtranscript?i=2141
"11/28/2024
Wed 27 Nov, 2024: Thanksgiving Special (Part 1 of 2) - Trust Day - History Again - Shadowgate Repeat - Affinity Groups - 216 IQ - PsyOps Discussion",https://toresaid.com/api/episode/printtranscript?i=2142
"11/27/2024
Tue 26 Nov, 2024: Landing Team News - Epshteyn Tea - Landing Team - Complex Chaos - MOU4Landing - Example Learning - Group Discussion",https://toresaid.com/api/episode/printtranscript?i=2143
"11/26/2024
Mon 25 Nov, 2024: Doctor Defined - The Documentary - Mass Coercion Science - Gender Benders - Misinformed Consent - Dr. Simone Gold Interview - Gold C",https://toresaid.com/api/episode/printtranscript?i=2144
"11/14/2024
Wed 13 Nov, 2024: Aliens Confirmed - Privacy Drones - UAP UFO - AI Profiles - Vacate Fill Eject - Earth Evacuation - God Trust",https://toresaid.com/api/episode/printtranscript?i=2145
"11/10/2024
Sun 10 Nov, 2024: Three Recent Tore Audio Segments",https://toresaid.com/api/episode/printtranscript?i=2131
"11/5/2024
Tue 05 Nov, 2024: Election Night - Unmasking The Future Of America (Part 3 Of 3)",https://toresaid.com/api/episode/printtranscript?i=2127
"11/5/2024
Tue 05 Nov, 2024: Election Night - Unmasking The Future Of America (Part 2 Of 3)",https://toresaid.com/api/episode/printtranscript?i=2128
"11/5/2024
Tue 05 Nov, 2024: Election Night - Unmasking The Future Of America (Part 1 Of 3)",https://toresaid.com/api/episode/printtranscript?i=2129
"11/4/2024
Mon 04 Nov, 2024: Election Eve - Lot's Happening - 2029 Review - Two Extremes - Era Finale - Already Flipped - Our Perspective",https://toresaid.com/api/episode/printtranscript?i=2130
"10/31/2024
Thu 31 Oct, 2024: Halloween Horror Special - Human Layers - Monster Stories - Government Crimes Documentary - Young Blood - Child Sacrifice USA - New",https://toresaid.com/api/episode/printtranscript?i=2121
"10/30/2024
Wed 30 Oct, 2024: Tore Says Documentary -- Enjoy The Show",https://toresaid.com/api/episode/printtranscript?i=2122
"10/28/2024
Mon 28 Oct, 2024: Tore Says Documentary -- To Modify The Human Race",https://toresaid.com/api/episode/printtranscript?i=2123
"10/27/2024
Sun 27 Oct, 2024: Tore's Reporting And Interviews From Inside The Trump Rally At Madison Square Garden",https://toresaid.com/api/episode/printtranscript?i=2124
"10/24/2024
Thu 24 Oct, 2024: Tore's Comments Made During Stream Tests On TicToc And Instagram",https://toresaid.com/api/episode/printtranscript?i=2125
"10/23/2024
Wed 23 Oct, 2024: For The Kids - Chief Shawn Taylor Interview - Project Archangel - Franklin Scandal History - After Party - Strategizing Advocacy - B",https://toresaid.com/api/episode/printtranscript?i=2126
"10/18/2024
Fri 18 Oct, 2024: Future History - See Biscuit - Trump Era Part 2 - Looking Back 2029 - Twenty Trillion - Testing Boundries - The Gatekeeper",https://toresaid.com/api/episode/printtranscript?i=2110
"10/12/2024
Sat 12 Oct, 2024: Deception Echos - Labyrinth - Trump Era Part One - The Oath - U R Cannons - Trust You - Eventual Triumph",https://toresaid.com/api/episode/printtranscript?i=2111
"10/7/2024
Mon 07 Oct, 2024: Control Ops (Part 2 Of 2) - Case Load - Weather Mods - New Laws - Lots Happening - Plan Mobility - The Spamwich",https://toresaid.com/api/episode/printtranscript?i=2112
"10/7/2024
Mon 07 Oct, 2024: Control Ops (Part 1 Of 2) - Can Not Stop - Amicus Arguments - Survivors - New Laws - Parental Rights - Election Integrity",https://toresaid.com/api/episode/printtranscript?i=2113
"10/1/2024
Tue 01 Oct, 2024: True Stories - Parables - Persistence - Future History - Layered Deception - Freedom Fight - God's Control",https://toresaid.com/api/episode/printtranscript?i=2114
"9/30/2024
Mon 30 Sep, 2024: Tore's Comments After Today's Georgia 2020 Election Court Case",https://toresaid.com/api/episode/printtranscript?i=2115
"9/20/2024
Fri 20 Sep, 2024: Amicus Update - It's About Control - People's Credit - Awesome Filings - Any Prayer - Push N' Pull - Allowed Info",https://toresaid.com/api/episode/printtranscript?i=2116
"9/18/2024
Wed 18 Sep, 2024: Opportunities Arising - In The Arena - Trials And Tribulations - Keep Fighting - Hate Focus - DNA Harvest - Good Friends",https://toresaid.com/api/episode/printtranscript?i=2117
"9/17/2024
Tue 17 Sep, 2024: Weathering Storms - MARAS Odyssey Ep 4 - Liberty Shielded - Eternal Truth - Philottomo - Self Speaking - Already Won",https://toresaid.com/api/episode/printtranscript?i=2118
"9/16/2024
Mon 16 Sep: High Tech Scrutiny (Part 2 of 2) - Waiting For Barron - Crypto Discussion - DJT Interview - Cats And Dogs - Welcoming America - Tough Choi",https://toresaid.com/api/episode/printtranscript?i=2119
"9/16/2024
Mon 16 Sep: High Tech Scrutiny (Part 1 of 2) - Air Fright - Crash Systems - Inertia Hacks - AI's Role - Air Force One - Bad Moves",https://toresaid.com/api/episode/printtranscript?i=2120
"9/10/2024
Tue 10 Sep: Tore's Pre-Debate Comments Plus The Latest MARAS Odyssey Episode 3",https://toresaid.com/api/episode/printtranscript?i=2102
"9/10/2024
Tue 10 Sep: Transition Time - Trump Harris Debate - Afford Life - No Plan - Ankle Wrap - Stolen Again - Civil War",https://toresaid.com/api/episode/printtranscript?i=2103
"9/9/2024
Mon 09 Sep: Deport Vote - Immigration Frustration - Open Jar - Compassion Free - Logical Solutions - Dirty Ambassador - Just Think",https://toresaid.com/api/episode/printtranscript?i=2104
"9/3/2024
Tue 03 Sep, 2024: AI Governance - Mar(a)s Project Ch 2 - Real Humans - Species Transition - So Obvious - Super Salty - Day Of Trumpets",https://toresaid.com/api/episode/printtranscript?i=2096
"8/30/2024
Fri 30 Aug, 2024: An AI Reading Of The Tore Maras Affidavit",https://toresaid.com/api/episode/printtranscript?i=2097
"8/29/2024
Thu 29 Aug, 2024: Election Integrity - Critical Confidence - Lawsuits R Prepped - Simple Solutions - Real CISA - Balloting Holiday - Honor And Respect",https://toresaid.com/api/episode/printtranscript?i=2098
"8/27/2024
Tue 27 Aug, 2024: Space Lasers - Mar(a)s Project Ch 1 - Soft Disclosure - AMOSS - Missile Test 2018 - All New Tech - Recent Future",https://toresaid.com/api/episode/printtranscript?i=2099
"8/24/2024
Sat 24 Aug, 2024: The Telegram Arrests And A Call To Action",https://toresaid.com/api/episode/printtranscript?i=2100
"8/22/2024
Thu 22 Aug, 2024: Recovery Return - Aladdin - The Relay - Wary Leaders - Looming Precipice - Project Mars - Future Past",https://toresaid.com/api/episode/printtranscript?i=2101
"8/5/2024
Mon 05 Aug, 2024: Twitch Tune Up - Tore's Discussions Made Today During Two Test Streaming Broadcasts",https://toresaid.com/api/episode/printtranscript?i=2085
"8/4/2024
Sun 04 Aug, 2024: Info Tickle - Tore's Short Comments Made On Her Twitch Channel.",https://toresaid.com/api/episode/printtranscript?i=2087
"8/4/2024
Sun 04 Aug, 2024: Info Tickle Two - A Second Round Of Tore's Comments Plus Chapters 15 and 16 Of Little Captain Doppelkop.",https://toresaid.com/api/episode/printtranscript?i=2086
"8/2/2024
Fri 02 Aug, 2024: Dark Drama - Tina Peters Case - Delete Watch - Knee Bent Corruption - Call U Out - Bad Climate - World End",https://toresaid.com/api/episode/printtranscript?i=2088
"7/30/2024
Tue 30 Jul, 2024: Tore reads chapters 6, 7 and 8 of Little Captain Doppelkop, by Ingersol Lockwood.",https://toresaid.com/api/episode/printtranscript?i=2089
"7/28/2024
Sun 28 Jul, 2024: Test Stream On Twitch - A Chit Chat On Faith - The Reading Of Chapters 4 And 5",https://toresaid.com/api/episode/printtranscript?i=2091
"7/28/2024
Sun 28 Jul, 2024: Tore As The Chaos Coordinator - On July 8th They Were Already Discussing The Trump Assassination - A Group Discussion",https://toresaid.com/api/episode/printtranscript?i=2090
"7/27/2024
Sat 27 Jul, 2024: Two Part Show - Saw Something, Say Something - It Wasn't Just A Sniper - Plus, A Conversation With Joe Jsnip4",https://toresaid.com/api/episode/printtranscript?i=2092
"7/26/2024
Fri 26 Jul, 2024: Big Diversions - Budgeting Illegals - Distraction Traction - Real Deep State - Crypt Guardians - Fed Entrapment - Interview with Eri",https://toresaid.com/api/episode/printtranscript?i=2093
"7/24/2024
Wed 24 Jul, 2024: Truth Perspective (Part 2 of 2) - Tina Peters Interview - Bullets4Lunch - 1776 Moment - Jail Time - Dark Marketing - People's Backst",https://toresaid.com/api/episode/printtranscript?i=2094
"7/24/2024
Wed 24 Jul, 2024: Truth Perspective (Part 1 of 2) - Precious Time - Live AI Editing - Engagement Farming - Government Continuity - Threat Environment",https://toresaid.com/api/episode/printtranscript?i=2095
"7/21/2024
Sun 21 Jul, 2024: People's Intel - Nitty Gritty - Not Talking - Steal Started - National Severity - Danger Level - Truth Goal",https://toresaid.com/api/episode/printtranscript?i=2077
"7/18/2024
Thu 18 Jul, 2024: Post RNC Commentary And What Comes Next",https://toresaid.com/api/episode/printtranscript?i=2078
"7/17/2024
Wed 17 Jul, 2024: RNC Day Three - An On The Street Report",https://toresaid.com/api/episode/printtranscript?i=2080
"7/16/2024
Tue 16 Jul, 2024: Checking In From Tornado Alley In Chicago - Thoughts On JD Vance",https://toresaid.com/api/episode/printtranscript?i=2081
"7/14/2024
Sun 14 Jul, 2024: A Tore Says Public Service Announcement",https://toresaid.com/api/episode/printtranscript?i=2049
"7/13/2024
Sat 13 Jul, 2024: (Part 2 of 2) Trump Shooting - Two Shooters - Lynching Fakery - Pinky AI - In The Bullseye - Total Alpha - True Courage",https://toresaid.com/api/episode/printtranscript?i=2050
"7/13/2024
Sat 13 Jul, 2024: (Part 1 of 2) Trump Shooting - Exposed - Stop Listening - NATO In Town - Narrative Starters - Ulterior Motives - God's Hand",https://toresaid.com/api/episode/printtranscript?i=2051
"7/12/2024
Fri 12 Jul, 2024: (Part 2 of 2) Veep Edition - Closer Look - Objective Breakdown - Asset Snakes - Shafting Staff - 2MuchTruth - Posturing",https://toresaid.com/api/episode/printtranscript?i=2052
"7/12/2024
Fri 12 Jul, 2024: (Part 1 of 2) Our Arab Spring - More VAXXX - Jill vs Kammy - Four No States - Ode To 2025 - New Plan - Viper's Den",https://toresaid.com/api/episode/printtranscript?i=2053
"7/10/2024
Wed 10 Jul, 2024: In For It - Disclosure - Boxed In - Roe Review - State's Rights - Data Monopoly - Dire Position",https://toresaid.com/api/episode/printtranscript?i=2054
"7/8/2024
Mon 08 Jul, 2024: Travel Control - Airline Angle - Wow Realm - New Energy - NATO Strong - Blackmail Rumors - JFK Jr Talk",https://toresaid.com/api/episode/printtranscript?i=2055
"7/7/2024
Sun 07 Jul, 2024: Tore Audio Bits, Pieces And Tips",https://toresaid.com/api/episode/printtranscript?i=2056
"7/1/2024
Mon 01 Jul, 2024: SCOTUS Times - Laptop Keystone - Massive Crow - Walk Thru - CISA Coverup - Biden Recordings - 2Dumb 2Know",https://toresaid.com/api/episode/printtranscript?i=2057
"6/27/2024
Thu 27 Jun, 2024: Tore On Deep Dive With Keith Malinak And Joe Bastardi: A Discussion On Weather Modification",https://toresaid.com/api/episode/printtranscript?i=2059
"6/27/2024
Thu 27 Jun, 2024: Tore Hosts The LIVE Unnecessary Presidential Debate",https://toresaid.com/api/episode/printtranscript?i=2058
"6/26/2024
Wed 26 Jun, 2024: Juan O'Savin Interview (Part 2 of 2) - Hybred Blood - Military Moves - AI Narrative - VP Pick - Coherence Slide - Divine Component",https://toresaid.com/api/episode/printtranscript?i=2060
"6/26/2024
Wed 26 Jun, 2024: Juan O'Savin Interview (Part 1 of 2) - Assange Stories - Shaky Coms - Latin Upheaval - Riot Trainers - Dollar Death - Cleanup Pendin",https://toresaid.com/api/episode/printtranscript?i=2061
"6/25/2024
Tue 25 Jun, 2024: Happy Truth Day - Eyes To See And Ears To Hear",https://toresaid.com/api/episode/printtranscript?i=2062
"6/23/2024
Sun 23 Jun, 2024: Current State Of The Nation: The Rise Of Domestic Terrorism",https://toresaid.com/api/episode/printtranscript?i=2063
"6/16/2024
Sun 16 Jun, 2024: Disruption Strategies - Trolling Foreign And Domestic Terrorists",https://toresaid.com/api/episode/printtranscript?i=2064
"6/15/2024
Sat 15 Jun, 2024: Tore As The Chaos Coordinator - Why Is The Right Insisting President Trump Is In Danger? #disrupt (Part 3 of 3)",https://toresaid.com/api/episode/printtranscript?i=2065
"6/15/2024
Sat 15 Jun, 2024: Tore As The Chaos Coordinator - Why Is The Right Insisting President Trump Is In Danger? #disrupt (Part 2 of 3)",https://toresaid.com/api/episode/printtranscript?i=2066
"6/15/2024
Sat 15 Jun, 2024: Tore As The Chaos Coordinator - Why Is The Right Insisting President Trump Is In Danger? #disrupt (Part 1 of 3)",https://toresaid.com/api/episode/printtranscript?i=2067
"6/8/2024
Sat 08 Jun, 2024: Tore As The Chaos Coordinator - Night Cap - Roger Stone And The Planned Riots (Part 2 of 2)",https://toresaid.com/api/episode/printtranscript?i=2068
"6/8/2024
Sat 08 Jun, 2024: Tore As The Chaos Coordinator - Night Cap - Roger Stone And The Planned Riots (Part 1 of 2)",https://toresaid.com/api/episode/printtranscript?i=2069
"6/7/2024
Fri 07 Jun, 2024: Lesson Two - How Domestic Terrorism Is Escalating And Why",https://toresaid.com/api/episode/printtranscript?i=2070
"6/6/2024
Thu 06 Jun, 2024: Lesson One - How To Organize And Riot Like A Commie",https://toresaid.com/api/episode/printtranscript?i=2071
"6/5/2024
Wed 05 Jun, 2024: Money Money Money And Cash Cash Cash - A Quick Tore Update",https://toresaid.com/api/episode/printtranscript?i=2072
"5/31/2024
Fri 31 May, 2024: Tore Is A Call In Guest On The Grant Guillot Podcast: A Quick Lunch Discussion On Finding Your Still In This Hellacious Storm",https://toresaid.com/api/episode/printtranscript?i=2073
"5/24/2024
Fri 24 May, 2024: Tore As The Chaos Coordinator - The DNC Is Above The Law According To Gov. DeWine",https://toresaid.com/api/episode/printtranscript?i=2074
"5/22/2024
Wed 22 May, 2024: Tore As The Chaos Coordinator - Elections 2024 - Shake Up (Part 2 of 2).",https://toresaid.com/api/episode/printtranscript?i=2075
"5/22/2024
Wed 22 May, 2024: Tore As The Chaos Coordinator - Elections 2024 - Shake Up (Part 1 of 2).",https://toresaid.com/api/episode/printtranscript?i=2076
"5/20/2024
Mon 20 May, 2024: Tore As The Chaos Coordinator - Profiting From Crisis - The New Money Making Scheme After The Elections And Covid (Part 2 of 2).",https://toresaid.com/api/episode/printtranscript?i=2026
"5/20/2024
Mon 20 May, 2024: Tore As The Chaos Coordinator - Profiting From Crisis - The New Money Making Scheme After The Elections And Covid (Part 1 of 2).",https://toresaid.com/api/episode/printtranscript?i=2027
"5/18/2024
Sat 18 May, 2024: Tore As The Chaos Coordinator - Film Discussion - Enjoy The Show - Origins Of The End Game - (Part 2 of 2)",https://toresaid.com/api/episode/printtranscript?i=2028
"5/18/2024
Sat 18 May, 2024: Tore As The Chaos Coordinator - Film Discussion - Enjoy The Show - Origins Of The End Game - (Part 1 of 2)",https://toresaid.com/api/episode/printtranscript?i=2029
"5/8/2024
Wed 08 May, 2024: Tore As The Chaos Coordinator - A Twitter Space Group Discussion - PROTESTS - Israel Or Palestine? Plus SCOTUS Update - (Part 2 of 2",https://toresaid.com/api/episode/printtranscript?i=2030
"5/8/2024
Wed 08 May, 2024: Tore As The Chaos Coordinator - A Twitter Space Group Discussion - PROTESTS - Israel Or Palestine? Plus SCOTUS Update - (Part 1 of 2",https://toresaid.com/api/episode/printtranscript?i=2031
"5/1/2024
Wed 01 May, 2024: Tore As The Chaos Coordinator - A Twitter Space Group Discussion - Evening Tea And Discourse Complete With Grievances",https://toresaid.com/api/episode/printtranscript?i=2032
"4/26/2024
Fri 26 Apr, 2024: Tore As The Chaos Coordinator - A Twitter Space Group Discussion - A Short ReCap Of This Week's News",https://toresaid.com/api/episode/printtranscript?i=2033
"4/25/2024
Thu 25 Apr, 2024: Tore As The Chaos Coordinator - A Twitter Space Group Discussion - Breaking News From The Border - Confessions Of A Governor",https://toresaid.com/api/episode/printtranscript?i=2034
"4/20/2024
Sat 20 Apr, 2024: Captured World - VX Agents - Public2Private - Nerd Scouts - Cyber Show - Spy Regimes - Cammo Drones",https://toresaid.com/api/episode/printtranscript?i=2035
"4/17/2024
Wed 17 Apr, 2024: Keeping It Real - Tore's Comments Made During Preview Of Secret Circle - Fast And Furious 2.0",https://toresaid.com/api/episode/printtranscript?i=2036
"4/15/2024
Mon 15 Apr, 2024: Sky Ice Series - Episode 8",https://toresaid.com/api/episode/printtranscript?i=2037
"4/14/2024
Sun 14 Apr, 2024: Sky Ice Series - Episode 7",https://toresaid.com/api/episode/printtranscript?i=2038
"4/13/2024
Sat 13 Apr, 2024: Sky Ice Series - Episode 6",https://toresaid.com/api/episode/printtranscript?i=2039
"4/11/2024
Thu 11 Apr, 2024: (Part 2 of 2) Tore As The Chaos Coordinator - A Twitter Space Group Discussion - Sacrifices, Elections and Wars",https://toresaid.com/api/episode/printtranscript?i=2040
"4/11/2024
Thu 11 Apr, 2024: (Part 1 of 2) Tore As The Chaos Coordinator - A Twitter Space Group Discussion - Sacrifices, Elections and Wars",https://toresaid.com/api/episode/printtranscript?i=2041
"4/10/2024
Wed 10 Apr, 2024: Truth Quest - Our Purpose - Container Kids - Weight Lifted - Montage Digest - Chaos Dance - Good Salt",https://toresaid.com/api/episode/printtranscript?i=2042
"4/9/2024
Tue 09 Apr, 2024: The Fal Of Babylon - Episode 4",https://toresaid.com/api/episode/printtranscript?i=2043
"4/8/2024
Mon 08 Apr, 2024: Eclipse Talk - Food4Thot - Critical Timing - Sovereign Voters - Ass Kissing - Nation States - Twenty Strategies",https://toresaid.com/api/episode/printtranscript?i=2044
"4/7/2024
Sun 07 Apr, 2024: (Part 2 of 2) Tore As The Chaos Coordinator - A Twitter Space Group Discussion - Sunday Tea Time - Major Trip Review And Reflection",https://toresaid.com/api/episode/printtranscript?i=2045
"4/7/2024
Sun 07 Apr, 2024: (Part 1 of 2) Tore As The Chaos Coordinator - A Twitter Space Group Discussion - Sunday Tea Time - Major Trip Review And Reflection",https://toresaid.com/api/episode/printtranscript?i=2046
"4/6/2024
Sat 06 Apr, 2024: The Fall Of Babylon - Episode 3",https://toresaid.com/api/episode/printtranscript?i=2047
"4/5/2024
Fri 05 Apr, 2024: The Fall Of Babylon - Episode 2",https://toresaid.com/api/episode/printtranscript?i=2016
"4/4/2024
Thu 04 Apr, 2024: The Fall Of Babylon - Episode 1",https://toresaid.com/api/episode/printtranscript?i=2017
"4/2/2024
Tue 02 Apr, 2024: Sky Ice Series - Episode 5",https://toresaid.com/api/episode/printtranscript?i=2018
"4/1/2024
Mon 01 Apr, 2024: Sky Ice Series - Episode 4",https://toresaid.com/api/episode/printtranscript?i=2019
"3/31/2024
Sun 31 Mar, 2024: Sky Ice Series - Episode 3",https://toresaid.com/api/episode/printtranscript?i=2020
"3/31/2024
Wed 31 Jan, 2024: Tore As The Chaos Coordinator - A Twitter Space Group Discussion - Difficult Conversations Need To Be Had - @FBI @SecGov",https://toresaid.com/api/episode/printtranscript?i=2001
"3/30/2024
Sat 30 Mar, 2024: Sky Ice Series - Episode 2",https://toresaid.com/api/episode/printtranscript?i=2021
"3/29/2024
Fri 29 Mar, 2024: Sky Ice Series - Episode 1",https://toresaid.com/api/episode/printtranscript?i=2022
"3/28/2024
Thu 28 Mar, 2024: D.U.M.B.S. - Their Secrecy Breeds Conspiracy",https://toresaid.com/api/episode/printtranscript?i=2023
"3/4/2024
Mon 04 Mar, 2024: Tore As The Chaos Coordinator - The SCOTUS Decision And Voting Rights - A Group Discussion part 1",https://toresaid.com/api/episode/printtranscript?i=2024
"3/4/2024
Mon 04 Mar, 2024: Tore As The Chaos Coordinator - The SCOTUS Decision And Voting Rights - A Group Discussion part 2",https://toresaid.com/api/episode/printtranscript?i=2025
"2/23/2024
Fri 23 Feb, 2024: Domestic Enemies - The Betrayal - Group Discussion - J6 Truths - War Trigger - Pivot Point - Dinner Time",https://toresaid.com/api/episode/printtranscript?i=2013
"2/20/2024
Tue 20 Feb, 2024: Assange Blueprint - Killing Journalism - Torture USA - Pissing Matches - Running On Fumes - NYM Chaos - Roller Coaster",https://toresaid.com/api/episode/printtranscript?i=2014
"2/19/2024
Mon 19 Feb, 2024: Panama - Recent History - Just Cuz - Music Weapons - Nazi Past - Our Dollars - Influence Web",https://toresaid.com/api/episode/printtranscript?i=2012
"2/17/2024
Sat 17 Feb, 2024: Echos Of Deception - Navigating The Labyrinth Of Our Digital Realm",https://toresaid.com/api/episode/printtranscript?i=2005
"2/16/2024
Fri 16 Feb, 2024: Turn It Up - Numbered Days - Outsider Truth - Power Release - Grassless Roots - LibertyNFreedom - Heat Is On",https://toresaid.com/api/episode/printtranscript?i=2006
"2/14/2024
Wed 14 Feb, 2024: Valentine's Day - Culture Move - Pagan Origins - InfoNData - Ockham's Razor - Forward Dots - Season Timing",https://toresaid.com/api/episode/printtranscript?i=2007
"2/13/2024
Tue 13 Feb, 2024: We See You - Video Roundup - Not A Game - Perspective - Truly Baffling - One2BSaved - Love Solution",https://toresaid.com/api/episode/printtranscript?i=2008
"2/12/2024
Mon 12 Feb, 2024: The Influencers - Manipulation AI - PlanNoPlan - Brain Code - Core Math - URData - Inner Focus",https://toresaid.com/api/episode/printtranscript?i=2009
